# t_sec   Poft_Rzmin  Poft_Rzmax
1.000000000000000000e+00 1.136131866306800590e-08 2.960981624964453098e-08
1.006469999999999976e+00 1.144863813679210452e-08 2.980232166304214538e-08
1.012979999999999992e+00 1.150670835208420124e-08 2.995025910648836011e-08
1.019539999999999891e+00 1.158491638119218331e-08 3.014228537373858504e-08
1.026129999999999987e+00 1.166730963560142734e-08 3.029945779014863878e-08
1.032769999999999966e+00 1.169548276942139084e-08 3.038400932749553050e-08
1.039460000000000051e+00 1.169263596083544048e-08 3.052614360834979036e-08
1.046180000000000110e+00 1.171602167289170227e-08 3.067549265145170274e-08
1.052950000000000053e+00 1.176464620133937036e-08 3.081460906283610629e-08
1.059770000000000101e+00 1.184831922551203560e-08 3.102541403595090509e-08
1.066619999999999902e+00 1.190574565666390269e-08 3.107772550625550931e-08
1.073530000000000095e+00 1.194583706205175855e-08 3.108988161052176165e-08
1.080470000000000041e+00 1.201340654885253456e-08 3.119212761011254765e-08
1.087460000000000093e+00 1.206571700553611744e-08 3.127604461590096498e-08
1.094500000000000028e+00 1.214159345891280897e-08 3.142452067648808880e-08
1.101580000000000004e+00 1.221476506059706301e-08 3.157382948728038973e-08
1.108710000000000084e+00 1.229603635290734354e-08 3.179676254512294280e-08
1.115879999999999983e+00 1.237730908236440993e-08 3.197756439883972069e-08
1.123099999999999987e+00 1.244293920894131763e-08 3.210219905822973567e-08
1.130370000000000097e+00 1.248389730192862272e-08 3.220386641702865655e-08
1.137690000000000090e+00 1.253067609996441055e-08 3.221817447850219998e-08
1.145049999999999901e+00 1.260076551885000306e-08 3.227276720095369866e-08
1.152460000000000040e+00 1.268636828517656130e-08 3.246199617801688631e-08
1.159909999999999997e+00 1.276207952999223320e-08 3.265616815484212793e-08
1.167419999999999902e+00 1.283855170148302008e-08 3.281792786661448586e-08
1.174970000000000070e+00 1.291201195187898518e-08 3.293201737414845744e-08
1.182579999999999965e+00 1.298195186377066171e-08 3.308120917283815220e-08
1.190229999999999899e+00 1.309506060098466117e-08 3.339228959149951996e-08
1.197929999999999939e+00 1.308058341756203307e-08 3.329609112871656436e-08
1.205680000000000085e+00 1.307830968962388362e-08 3.315740450305360203e-08
1.213479999999999892e+00 1.311468150752168205e-08 3.317909761305390949e-08
1.221330000000000027e+00 1.307048900149186419e-08 3.312802290248326198e-08
1.229240000000000110e+00 1.313393629192971978e-08 3.334016390700398680e-08
1.237190000000000012e+00 1.322764815188216733e-08 3.354794506899546845e-08
1.245200000000000085e+00 1.330766639727004456e-08 3.376608619677466108e-08
1.253249999999999975e+00 1.339641745525358740e-08 3.402134420924607061e-08
1.261360000000000037e+00 1.342971139417628036e-08 3.411907891522747161e-08
1.269530000000000047e+00 1.345951164019418421e-08 3.421877123240207088e-08
1.277740000000000098e+00 1.353083388325097781e-08 3.441500082524244976e-08
1.286010000000000097e+00 1.358508731213233605e-08 3.458858097803963356e-08
1.294329999999999981e+00 1.358613212214902065e-08 3.471278550420910921e-08
